run_id	phase	setting	shift_family	severity	application_mode	max_samples	shift_seed
phase1full_clean_all_latency_det_s1_vehicle_shifted_only_seed0	phase1full	clean_all	latency_det	s1	vehicle_shifted_only		0
phase1full_clean_all_latency_det_stress_all_shifted_seed0	phase1full	clean_all	latency_det	stress	all_shifted		0
phase1full_clean_all_latency_jitter_s2_rsu_shifted_only_seed0	phase1full	clean_all	latency_jitter	s2	rsu_shifted_only		0
phase1full_clean_all_latency_jitter_stress_vehicle_shifted_only_seed0	phase1full	clean_all	latency_jitter	stress	vehicle_shifted_only		0
phase1full_clean_all_frame_lost_hold_s3_all_shifted_seed0	phase1full	clean_all	frame_lost_hold	s3	all_shifted		0
phase1full_clean_all_frame_lost_zero_s1_rsu_shifted_only_seed0	phase1full	clean_all	frame_lost_zero	s1	rsu_shifted_only		0
phase1full_clean_all_frame_lost_zero_s3_vehicle_shifted_only_seed0	phase1full	clean_all	frame_lost_zero	s3	vehicle_shifted_only		0
phase1full_clean_all_packet_drop_s2_all_shifted_seed0	phase1full	clean_all	packet_drop	s2	all_shifted		0
phase1full_clean_all_packet_drop_stress_rsu_shifted_only_seed0	phase1full	clean_all	packet_drop	stress	rsu_shifted_only		0
phase1full_clean_all_bandwidth_cap_s2_vehicle_shifted_only_seed0	phase1full	clean_all	bandwidth_cap	s2	vehicle_shifted_only		0
phase1full_clean_all_fov_center_s1_all_shifted_seed0	phase1full	clean_all	fov_center	s1	all_shifted		0
phase1full_clean_all_fov_center_s3_rsu_shifted_only_seed0	phase1full	clean_all	fov_center	s3	rsu_shifted_only		0
phase1full_clean_all_fov_left_loss_s1_vehicle_shifted_only_seed0	phase1full	clean_all	fov_left_loss	s1	vehicle_shifted_only		0
phase1full_clean_all_fov_left_loss_stress_all_shifted_seed0	phase1full	clean_all	fov_left_loss	stress	all_shifted		0
phase1full_clean_all_fov_right_loss_s2_rsu_shifted_only_seed0	phase1full	clean_all	fov_right_loss	s2	rsu_shifted_only		0
phase1full_clean_all_fov_right_loss_stress_vehicle_shifted_only_seed0	phase1full	clean_all	fov_right_loss	stress	vehicle_shifted_only		0
phase1full_clean_all_fov_top_loss_s3_all_shifted_seed0	phase1full	clean_all	fov_top_loss	s3	all_shifted		0
phase1full_clean_all_fov_bottom_loss_s1_rsu_shifted_only_seed0	phase1full	clean_all	fov_bottom_loss	s1	rsu_shifted_only		0
phase1full_clean_all_fov_bottom_loss_s3_vehicle_shifted_only_seed0	phase1full	clean_all	fov_bottom_loss	s3	vehicle_shifted_only		0
phase1full_clean_all_camera_crash_s1_vehicle_shifted_only_seed0	phase1full	clean_all	camera_crash	s1	vehicle_shifted_only		0
phase1full_clean_all_camera_crash_s3_vehicle_shifted_only_seed0	phase1full	clean_all	camera_crash	s3	vehicle_shifted_only		0
phase1full_clean_all_resolution_s1_vehicle_shifted_only_seed0	phase1full	clean_all	resolution	s1	vehicle_shifted_only		0
phase1full_clean_all_resolution_s3_vehicle_shifted_only_seed0	phase1full	clean_all	resolution	s3	vehicle_shifted_only		0
phase1full_clean_all_pose_noise_s1_vehicle_shifted_only_seed0	phase1full	clean_all	pose_noise	s1	vehicle_shifted_only		0
phase1full_clean_all_pose_noise_s3_vehicle_shifted_only_seed0	phase1full	clean_all	pose_noise	s3	vehicle_shifted_only		0
phase1full_clean_all_color_quant_s1_vehicle_shifted_only_seed0	phase1full	clean_all	color_quant	s1	vehicle_shifted_only		0
phase1full_clean_all_color_quant_s3_vehicle_shifted_only_seed0	phase1full	clean_all	color_quant	s3	vehicle_shifted_only		0
phase1full_clean_all_brightness_s1_vehicle_shifted_only_seed0	phase1full	clean_all	brightness	s1	vehicle_shifted_only		0
phase1full_clean_all_brightness_s3_vehicle_shifted_only_seed0	phase1full	clean_all	brightness	s3	vehicle_shifted_only		0
phase1full_clean_all_darkness_s1_vehicle_shifted_only_seed0	phase1full	clean_all	darkness	s1	vehicle_shifted_only		0
phase1full_clean_all_darkness_s3_vehicle_shifted_only_seed0	phase1full	clean_all	darkness	s3	vehicle_shifted_only		0
phase1full_clean_all_contrast_s1_vehicle_shifted_only_seed0	phase1full	clean_all	contrast	s1	vehicle_shifted_only		0
phase1full_clean_all_contrast_s3_vehicle_shifted_only_seed0	phase1full	clean_all	contrast	s3	vehicle_shifted_only		0
phase1full_clean_all_motion_blur_s1_vehicle_shifted_only_seed0	phase1full	clean_all	motion_blur	s1	vehicle_shifted_only		0
phase1full_clean_all_motion_blur_s3_all_shifted_seed0	phase1full	clean_all	motion_blur	s3	all_shifted		0
phase1full_clean_all_motion_blur_stress_rsu_shifted_only_seed0	phase1full	clean_all	motion_blur	stress	rsu_shifted_only		0
phase1full_clean_all_defocus_blur_s1_vehicle_shifted_only_seed0	phase1full	clean_all	defocus_blur	s1	vehicle_shifted_only		0
phase1full_clean_all_defocus_blur_s3_all_shifted_seed0	phase1full	clean_all	defocus_blur	s3	all_shifted		0
phase1full_clean_all_defocus_blur_stress_rsu_shifted_only_seed0	phase1full	clean_all	defocus_blur	stress	rsu_shifted_only		0
