run_id	phase	setting	shift_family	severity	application_mode	max_samples	shift_seed
phase1pilot_clean_all_latency_det_s1_all_shifted_seed0	phase1pilot	clean_all	latency_det	s1	all_shifted		0
phase1pilot_clean_all_latency_det_s3_all_shifted_seed0	phase1pilot	clean_all	latency_det	s3	all_shifted		0
phase1pilot_clean_all_latency_jitter_s3_all_shifted_seed0	phase1pilot	clean_all	latency_jitter	s3	all_shifted		0
phase1pilot_clean_all_latency_jitter_stress_rsu_shifted_only_seed0	phase1pilot	clean_all	latency_jitter	stress	rsu_shifted_only		0
phase1pilot_clean_all_frame_lost_hold_s2_rsu_shifted_only_seed0	phase1pilot	clean_all	frame_lost_hold	s2	rsu_shifted_only		0
phase1pilot_clean_all_frame_lost_hold_s2_vehicle_shifted_only_seed0	phase1pilot	clean_all	frame_lost_hold	s2	vehicle_shifted_only		0
phase1pilot_clean_all_frame_lost_hold_s3_all_shifted_seed0	phase1pilot	clean_all	frame_lost_hold	s3	all_shifted		0
phase1pilot_clean_all_frame_lost_hold_stress_all_shifted_seed0	phase1pilot	clean_all	frame_lost_hold	stress	all_shifted		0
phase1pilot_clean_all_frame_lost_zero_s3_all_shifted_seed0	phase1pilot	clean_all	frame_lost_zero	s3	all_shifted		0
phase1pilot_clean_all_packet_drop_s3_all_shifted_seed0	phase1pilot	clean_all	packet_drop	s3	all_shifted		0
phase1pilot_clean_all_packet_drop_stress_all_shifted_seed0	phase1pilot	clean_all	packet_drop	stress	all_shifted		0
phase1pilot_clean_all_bandwidth_cap_s3_all_shifted_seed0	phase1pilot	clean_all	bandwidth_cap	s3	all_shifted		0
phase1pilot_clean_all_fov_left_loss_s3_rsu_shifted_only_seed0	phase1pilot	clean_all	fov_left_loss	s3	rsu_shifted_only		0
phase1pilot_clean_all_fov_right_loss_s2_vehicle_shifted_only_seed0	phase1pilot	clean_all	fov_right_loss	s2	vehicle_shifted_only		0
phase1pilot_clean_all_fov_right_loss_s3_vehicle_shifted_only_seed0	phase1pilot	clean_all	fov_right_loss	s3	vehicle_shifted_only		0
phase1pilot_clean_all_missing_camera_s2_all_shifted_seed0	phase1pilot	clean_all	missing_camera	s2	all_shifted		0
phase1pilot_clean_all_missing_camera_s3_all_shifted_seed0	phase1pilot	clean_all	missing_camera	s3	all_shifted		0
phase1pilot_clean_all_pose_noise_s3_all_shifted_seed0	phase1pilot	clean_all	pose_noise	s3	all_shifted		0
phase1pilot_clean_all_camera_crash_s2_rsu_shifted_only_seed0	phase1pilot	clean_all	camera_crash	s2	rsu_shifted_only		0
phase1pilot_clean_all_camera_crash_s3_rsu_shifted_only_seed0	phase1pilot	clean_all	camera_crash	s3	rsu_shifted_only		0
phase1pilot_clean_all_color_quant_s3_rsu_shifted_only_seed0	phase1pilot	clean_all	color_quant	s3	rsu_shifted_only		0
phase1pilot_clean_all_jpeg_s3_rsu_shifted_only_seed0	phase1pilot	clean_all	jpeg	s3	rsu_shifted_only		0
phase1pilot_clean_all_compound_avail_mid_all_shifted_seed0	phase1pilot	clean_all	compound_avail	mid	all_shifted		0
phase1pilot_clean_all_compound_lcf_mid_all_shifted_seed0	phase1pilot	clean_all	compound_lcf	mid	all_shifted		0
phase1pilot_clean_all_compound_photo_comm_mid_all_shifted_seed0	phase1pilot	clean_all	compound_photo_comm	mid	all_shifted		0
